 , , , , , , , ,ACTURAL, , , , , , , , , , , , , , , , , ,COMMAND, , , , , , , , , 
acs1,acs2,acs3,acs4,acs5,acs6,pcs1,pcs2,pcs3,pcs4,pcs5,pcs6,current1,current2,current3,current4,current5,current6,acs1,acs2,acs3,acs4,acs5,acs6,pcs1,pcs2,pcs3,pcs4,pcs5,pcs6,current1,current2,current3,current4,current5,current6
0.116798,0.0185462,90.0491,-0.0352705,89.9291,0.260327,420.007,0.742296,414.776,-179.965,0.0405427,179.857,0.667158,1.79174,-0.798804,-0.412122,0.0622613,0.449704,0.220634,0.0355291,90.0857,-0.0626288,89.8761,0.452839,420,1.35656,414.648,-179.941,0.0711682,179.778,0.0020385,0.000323693,1.57165,-0.000615586,1.56956,0.00454356
0.14769,0.0237946,90.0611,-0.0439181,89.9125,0.323091,420.003,0.940821,414.726,-179.956,0.0503923,179.825,0.750963,1.77695,-0.825756,-0.426495,0.0632936,0.417774,0.270287,0.0433633,90.1048,-0.0768278,89.8483,0.554721,420,1.66616,414.567,-179.927,0.0874425,179.727,0.00257768,0.000415295,1.57186,-0.000766516,1.56927,0.00563899
0.182009,0.0290975,90.0749,-0.0532728,89.8945,0.390123,419.998,1.16217,414.664,-179.947,0.0600247,179.792,0.770329,1.76661,-0.854363,-0.438687,0.0538206,0.351093,0.314996,0.0503668,90.1219,-0.0896459,89.8234,0.64645,420,1.94527,414.495,-179.915,0.102124,179.681,0.00317665,0.000507846,1.5721,-0.000929786,1.56896,0.00680894
0.22677,0.0358959,90.0923,-0.0654013,89.8716,0.472657,419.992,1.45111,414.587,-179.935,0.0725192,179.754,0.724933,1.74986,-0.898847,-0.447752,0.0249299,0.293963,0.364395,0.058049,90.1408,-0.103844,89.7959,0.74779,420,2.25392,414.415,-179.901,0.118372,179.63,0.00395788,0.000626502,1.57241,-0.00114147,1.56856,0.00824942
0.298779,0.0486499,90.1198,-0.0864765,89.8312,0.623311,419.988,1.91089,414.479,-179.915,0.0986696,179.676,0.583172,1.70359,-0.99291,-0.439024,-0.0302536,0.335875,0.447804,0.0708876,90.1726,-0.127905,89.7495,0.918882,420,2.77556,414.279,-179.879,0.145858,179.545,0.00521468,0.0008491,1.57289,-0.0015093,1.56785,0.0108788
0.341936,0.0558834,90.1372,-0.0987138,89.8077,0.71441,419.982,2.1877,414.404,-179.903,0.112227,179.628,0.55237,1.62646,-1.03945,-0.424895,-0.0779558,0.370115,0.509967,0.0803473,90.1962,-0.145906,89.715,1.04637,420,3.16459,414.178,-179.862,0.166379,179.481,0.00596791,0.00097535,1.57319,-0.00172288,1.56744,0.0124688
0.410111,0.066761,90.1622,-0.118375,89.7695,0.847987,419.985,2.62398,414.301,-179.884,0.136809,179.563,0.576522,1.5398,-1.09108,-0.403926,-0.149235,0.300517,0.595467,0.093207,90.2285,-0.170762,89.6677,1.22171,420,3.69993,414.039,-179.838,0.194647,179.393,0.00715779,0.0011652,1.57363,-0.00206603,1.56677,0.0148002
0.464471,0.0746472,90.1824,-0.134474,89.7385,0.962364,419.99,2.97054,414.211,-179.868,0.155963,179.503,0.600483,1.50486,-1.09985,-0.386906,-0.192074,0.306763,0.670398,0.104333,90.2566,-0.192638,89.6263,1.37534,420,4.16924,413.918,-179.818,0.219459,179.317,0.00810656,0.00130284,1.57398,-0.00234701,1.56623,0.0167964
0.553939,0.0879178,90.2155,-0.160335,89.6863,1.15019,420.002,3.54301,414.066,-179.843,0.189322,179.405,0.675678,1.50993,-1.06387,-0.365156,-0.219128,0.353913,0.772624,0.119296,90.2948,-0.222621,89.5701,1.58491,420,4.80963,413.751,-179.79,0.253359,179.212,0.00966807,0.00153446,1.57456,-0.00279838,1.56532,0.0200746
0.622169,0.097626,90.2386,-0.179045,89.6491,1.2773,420.011,3.98289,413.968,-179.826,0.213901,179.346,0.71021,1.52563,-1.02517,-0.352684,-0.21391,0.345964,0.838708,0.128836,90.3193,-0.242089,89.5338,1.72036,420,5.22365,413.644,-179.772,0.275302,179.144,0.0108589,0.0017039,1.57496,-0.00312492,1.56467,0.022293
